id,w,square footage,24-Hour,number,activity
00271,62.584971321,08,2,125,25
00272,158.29956057,06,2,250,02
00273,583.35116997,05,2,30,14
00274,52.146233763,08,1,800,02
00275,777.87987978,03,2,1,15
00276,1851.6697201,02,2,2,26
00277,1522.5900193,04,2,0,01
00278,810.40542332,03,2,30,15
00279,9.2846065541,08,1,100,16
00280,3231.2895441,02,2,0,05
00281,24.111327225,09,2,260,05
00282,624.95414063,04,2,30,02
00283,179.59592524,08,2,130,14
00284,787.07922084,04,2,5,12
00285,385.90781293,05,2,91,07
00286,1667.7551609,02,2,3,05
00287,918.02992474,04,2,9,12
00288,273.99706838,03,2,20,15
00289,1484.5150471,02,2,1,12
00290,1831.778257,03,1,4,17
00291,941.81790866,04,2,30,25
00292,30.431064391,05,2,500,08
00293,1828.0523467,02,2,7,02
00294,9.2846065541,06,1,200,16
00295,1387.0765871,03,2,1,12
00296,23.251171658,08,2,58,13
00297,50.31915606,07,1,600,02
00298,6.6318618244,09,1,2000,16
00299,1828.0523467,03,1,8,02
00300,1461.8570616,02,2,2,02
00301,48.841044419,05,2,50,02
00302,953.18777657,02,2,2,15
00303,84.055763395,08,2,60,14
00304,1522.9817889,03,2,8,05
00305,1879.4560061,02,2,3,25
00306,48.841044419,08,2,1200,02
00307,19.690263031,07,1,450,16
00308,170.02714092,07,2,77,23
00309,1851.6697201,04,2,8,13
00310,499.1203535,05,2,33,14
00311,125.65044,07,2,87,14
00312,19.690263031,08,1,250,16
00313,632.51710677,04,2,22,23
00314,1155.42801,02,2,4,26
00315,25.322576596,08,1,1000,02
00316,1867.0570666,03,2,0,01
00317,299.39484032,06,2,24,14
00318,589.65549977,07,2,80,06
00319,299.39484032,02,2,1,13
00320,35.223900454,08,1,250,16
00321,360.21806967,06,2,40,14
00322,920.12358315,02,2,0,01
00323,17.191258213,09,1,250,18
00324,1879.4560061,02,2,2,25
00325,908.28279654,04,2,50,02
00326,360.21806967,05,2,8,13
00327,692.22122089,04,2,5,05
00328,84.055763395,06,2,40,14
00329,1868.403437,03,2,4,12
00330,1667.7551609,02,2,7,02
00331,31.847187548,08,2,20,13
00332,1117.7421223,05,2,50,26
00333,6.6318618244,10,1,800,16
00334,1868.403437,03,2,8,02
00335,1807.4628666,02,2,6,08
00336,1879.4560061,02,2,6,05
00337,1879.4560061,03,2,6,26
00338,503.86330813,04,2,30,14
00339,653.84310688,03,2,5,05
00340,789.93659277,02,2,13,08
00341,1276.538624,02,2,5,15
00342,23.910571217,08,1,200,16
00343,23.717553485,07,2,96,23
00344,84.055763395,08,1,75,18
00345,887.44188343,02,2,1,25
00346,84.055763395,07,1,50,18
00347,6.6318618244,10,1,4000,16
00348,1729.17335,02,2,0,13
00349,1162.262962,02,2,1,26
00350,1667.7551609,02,2,4,25
00351,1868.403437,03,2,9,23
00352,1851.6697201,02,2,6,06
00353,1451.6174232,02,2,0,01
00354,14.890922049,08,1,1400,16
00355,583.35116997,04,2,12,15
00356,583.35116997,04,2,16,14
00357,941.81790866,04,2,19,12
00358,125.65044,08,2,202,14
00359,126.26687703,06,2,75,02
00360,1807.4628666,03,2,7,26
00361,1667.7551609,02,2,7,02
00362,2.6527447297,10,1,6500,16
00363,1522.5900193,04,2,20,05
00364,4.54645961,09,1,1000,16
00365,9.2846065541,08,1,1300,16
00366,148.30270094,07,2,500,02
00367,632.51710677,04,2,1,13
00368,64.479025303,07,2,350,02
00369,52.146233763,08,1,1100,02
00370,249.98165625,04,2,25,14
00371,887.44188343,02,2,9,08
00372,19.690263031,07,1,200,16
00373,1387.0765871,02,2,3,26
00374,84.58932707,06,1,100,17
00375,84.055763395,07,1,25,18
00376,4.6524983211,10,1,351,13
00377,1667.7551609,02,2,4,12
00378,1667.7551609,02,2,2,26
00379,1559.8286174,02,2,1,02
00380,105.83552153,07,2,125,05
00381,1828.0523467,03,2,10,91
00382,1522.9817889,03,2,4,26
00383,692.22122089,05,2,13,14
00384,19.690263031,08,2,289,24
00385,48.841044419,05,1,50,05
00386,392.2691563,07,1,20,18
00387,657.71092576,04,2,65,02
00388,1461.8570616,04,2,6,15
00389,84.055763395,08,1,500,14
00390,1522.9817889,02,2,10,25
00391,1868.403437,03,2,8,26
00392,171.86695171,07,2,80,14
00393,226.82776714,06,2,65,23
00394,1851.6697201,02,2,1,26
00395,918.02992474,02,2,8,02
00396,1197.3864068,04,2,25,15
00397,242.08690218,06,2,100,14
00398,665.40891804,06,2,2,05
00399,1387.0765871,02,2,2,12
00400,148.30270094,07,1,175,02
00401,697.46961475,04,2,20,26
00402,1807.4628666,02,2,1,25
00403,9.0929192199,09,1,2500,16
00404,279.28294555,07,1,3,18
00405,115.50403204,07,2,17,01
00406,84.055763395,08,2,350,14
00407,445.73119547,06,2,120,08
00408,1162.262962,02,2,8,02
00409,84.055763395,06,1,15,18
00410,6.6318618244,08,1,200,16
00411,665.40891804,07,2,2,05
00412,1667.7551609,02,2,4,12
00413,1387.0765871,03,2,9,12
00414,336.40197304,06,2,60,02
00415,48.841044419,08,2,750,02
00416,1197.3864068,02,2,15,15
00417,1522.9817889,02,2,1,26
00418,48.841044419,07,2,50,12
00419,77.391647827,07,2,287,02
00420,1791.3103533,02,2,3,26
00421,50.31915606,07,2,61,02
00422,50.31915606,07,2,338,02
00423,48.841044419,02,2,8,02
00424,692.22122089,04,2,2,05
00425,178.39372759,07,2,83,14
00426,9.2846065541,06,2,32,02
00427,23.717553485,08,1,530,08
00428,1341.3092902,04,1,0,12
00429,356.19828827,06,1,10,02
